manufacturer,model,vehicle_type
toyota,tacoma access cab v6 auto 4wd,truck
dodge,dakota big horn sxt crew cab 2wd 5-sp,unknown
chevrolet,silverado 1500 ls ext. cab long bed 4wd 4-speed au,truck
ram,1500 tradesman regular cab lwb 2wd 6-speed automat,truck
ford,f-150 lariat supercrew 5.5-ft. bed 4wd 6-speed aut,truck
chevrolet,silverado 2500hd ltz crew cab 4wd 6-speed automati,truck
mercury,villager sport,sport
ram,1500 slt mega cab 4x4,truck
lincoln,mark viii lsc,unknown
gmc,sierra 3500hd 4x4 sle,truck
chevrolet,e350,unknown
,Tyota scion,unknown
dodge,1500 big horn sport,truck
ford,f 250 xlt crew cab,unknown
gmc,1500 elevation crew cab,truck
,Panel Van,unknown
,Western Star 4700SD,unknown
mercedes-benz,slk320,unknown
saturn,s-series sl1,unknown
ford,f 250 lariat fx4 crew cab,unknown
toyota,camry 4d sedan,sedan
,107566,unknown
chevrolet,el camino base,unknown
jeep,wrangler jl,SUV
bmw,6 series 640i xdrive,unknown
porsche,cayenne base,unknown
gmc,sierra 1500 lifted,truck
gmc,sierra 1500 z71,truck
gmc,c5500 bucket truck,truck
aston-martin,martin v8 vantage s,unknown
chevrolet,silverado k1500 4x4,truck
honda,ridgeline rtl-e pickup 4d,truck
mitsubishi,outlander ls,unknown
ford,sort trac,unknown
,1967 camaro,unknown
chevrolet,silverado 3500 4x4,truck
,freightliner classic xl,unknown
kia,optima s,sedan
mercedes-benz,benz amg gt c,sport
volvo,xc60 inscription,unknown
,ALL MAKES AND MODELS,unknown
toyota,tundra 1794,truck
toyota,crown,unknown
ford,expedition xlt 4x4 limited,unknown
honda,crv touring,unknown
,buic eight,unknown
infiniti,qx60 base,unknown
dodge,2500 tradesman long bed,truck
chevrolet,2500 hd ltz z71 crew cab,truck
bmw,3 series dinan,unknown
mini,roadster,unknown
lincoln,nautilus reserve,unknown
ford,ranger xlt sport,truck
ford,f 250 xlt fx4,unknown
ford,f250 super duty powerstroke,truck
volkswagen,touareg v10 tdi,unknown
gmc,jimmy 4x4,unknown
chevrolet,1972 short wheel base,unknown
ford,f 250 xlt fx4 crew cab,unknown
dodge,2500 power wagon crew cab,truck
gmc,3500 hd denali dually,truck
mercedes-benz,r350 4matic,unknown
audi,a5 premium,unknown
buick,encore leather,unknown
acura,ilx 2.0l,unknown
infiniti,g37s,unknown
chevrolet,classic pickup,truck
dodge,3500 laramie longhorn,truck
ford,f-150 v8,truck
ford,f-550 4x4 flatbed,unknown
mercury,s22 comet,unknown
chevrolet,s10 zr5,unknown
dodge,r-3500 drw flatbed,truck
chevrolet,silverado medium duty,truck
mercedes-benz,cls500,unknown
,Zenith,unknown
tesla,model x p100d,unknown
buick,enclave premium awd,unknown
,FL FLD120,unknown
,freightliner cascadia sleeper,unknown
,Mariela Morales,unknown
chevrolet,1995 g20 van,unknown
,international 9200,unknown
jeep,ut,unknown
dodge,charger 3.5l,unknown
gmc,v15 suburban 4wd,SUV
gmc,100,unknown
chevrolet,3500 flatbed,truck
nissan,rouge sl,unknown
chevrolet,s-10 extreme,unknown
ford,focus se sedan 4d,sedan
bmw,435i,unknown
ford,f350 altec 35ft bucket,truck
gmc,c6,unknown
ram,3500 cummins diesel,truck
toyota,corolla wagon,sedan
ram,big horn 1500,truck
,freightliner fl80,unknown
,Peterbilt 389,unknown
,International durastar 4300,unknown
toyota,rav4 hv,SUV
ferrari,f12berlinetta,unknown
,freightliner dump truck,unknown
ford,f350 drw 4x4,truck
ford,f150 4wd truck f-150 lariat,truck
ford,f-150 4wd lariat f150 4x4,truck
chevrolet,4x4 truck,truck
ram,1500 slt 4wd 4x4,truck
chevrolet,blazer lt suv,SUV
ford,f350sd,truck
ford,f150 stx 4wd f-150 4x4,truck
ford,f150 4wd f-150 4x4,truck
ram,1500 classic 4wd,truck
ford,super duty f350 drw xlt,truck
ford,escape titanium suv,SUV
,Kaiser m35,unknown
ford,escape se suv,SUV
,HUNDREDS TO CHOOSE FROM,unknown
mitsubishi,fuso fe84d,unknown
chevrolet,express legend,sport
ford,f-150 xlt 4wd f150 4x4,truck
,daihatsu hijet,unknown
,1997 f350 xlt,unknown
ford,motorhome chassis,sport
ford,f-150 ac,truck
jeep,commander base,unknown
,912 e,unknown
mercedes-benz,benz s 500,unknown
ford,f 150 extra cab,unknown
chevrolet,camaro base model,unknown
,1955 Nomad,unknown
,FREIGHTLINER CENTURY,unknown
,MACK RD,unknown
chrysler,town n country,unknown
mazda,mpv es,unknown
,1985  el camino,unknown
dodge,dakota slt crew cab,unknown
nissan,rouge s,unknown
ford,f150 lariat crew cab,truck
saturn,ls300,unknown
gmc,sierra1500 crewcab 4x4,truck
kia,rio base,unknown
volkswagen,jetta wolfsburg editi,sedan
ford,f150 4x4 xlt 4wd f-150,truck
ford,ranger xlt truck,truck
ford,business coupe,sport
gmc,envoy xuv,unknown
,Oldsmobile Silhouette,unknown
chevrolet,corvette stingray 3lt,unknown
cadillac,cts 3.6,unknown
,smart electric drive Prime,unknown
bmw,750li sport,sport
ford,f150 stx 4wd pickup truck,truck
ram,c/v cargo van,unknown
chrysler,sebring jxi,unknown
ram,250 diesel,unknown
,GEO METRO,unknown
ford,excursion limited 4x4,unknown
bmw,3-series 335i,unknown
gmc,high sierra,truck
dodge,aries,unknown
,isuzu rodeo ls,unknown
,1999 oldsmobile aurora,unknown
honda,odyssee,sport
ford,e350 super duty cargo,unknown
gmc,sierra lt,truck
ford,f150 xlt f-150,truck
,International b32,unknown
toyota,solara se convertible,sport
,All tire sizes,unknown
buick,eight,unknown
,MACK CXU,unknown
,INTERNATIONAL SA625,unknown
mazda,cx5 gt awd,SUV
hyundai,tucson spt,unknown
hyundai,sante fe se awd,unknown
acura,rdx base,unknown
bmw,1-series,unknown
infiniti,g coupe,sport
,Plymouth Gran Fury,unknown
infiniti,qx80 base,unknown
bmw,x3 sdrive30i suv,SUV
,maserati granturismo convertib,unknown
,1992 wrangler,unknown
,Isuzu W5500HD,unknown
,Junk Cars,unknown
pontiac,firebird t-top,unknown
gmc,sierra (c10),truck
,isuzu nqr,unknown
audi,sq5 quattro,unknown
jeep,grand cherokee hemi,SUV
ford,flat bed,unknown
,LINCLON MKX SUV,unknown
ford,e250 cargo vaan,unknown
,Wheego Whip,unknown
ford,fusion hybrid sel sedan,sedan
pontiac,aztek,unknown
,ModelX,unknown
chevrolet,express 3500 extended,truck
volvo,s60 2.5t nice!,unknown
ford,explorer xls 4x4,SUV
,2013 FOR F150 XLT,unknown
jeep,grand cherokee loredo,SUV
volvo,c30 t5,unknown
,1978 van,unknown
,INTERNATIONAL MF035,unknown
ford,explorer spt trac,SUV
ford,e150 super duty passenger,sport
,Xxx,unknown
gmc,sierra 2500hd denali 4wd,truck
,MACL RD SERIES,unknown
chrysler,60 series,unknown
,Thomas School Bus,unknown
bmw,328 i,unknown
ford,mustang gt350 tribute,sport
dodge,avenger sedan,sedan
jeep,new compass latitude,sport
ford,f-150 platinumcrew cab,truck
,VOLKSWAGON JETTA S,unknown
jeep,wrangler jl sahara,SUV
nissan,versa note s,unknown
ram,1500 slt quad cab,truck
,Peterbilt 367,unknown
mercedes-benz,benz s63 amg,unknown
chevrolet,uplander lt,unknown
,any,unknown
,Jep Wrangler Rubicon,unknown
gmc,6500 topkick,unknown
ford,f150 4x4 supwer crew xlt,truck
,FREIGHTLINER M2 BUCKET TRUCK,unknown
bmw,z4 3.0 sdrive,unknown
ford,f150 4x4 xlt crew,truck
chevrolet,silverado z71 crew 4x4,truck
jeep,cherokee sport v6,SUV
ford,f-150 four-door crew cab,truck
chevrolet,g3500,truck
ford,f250 6.4l diesel 4x4,truck
chevrolet,silverado 1500 lt z71 4x4,truck
chevrolet,silverado 1500 hd,truck
infiniti,g37 x,unknown
chevrolet,v3500 crewcab,truck
nissan,kicks sr,unknown
,2021,unknown
mini,cooper countryman s all4awd,unknown
,2015 international,unknown
,Orion,unknown
ford,f-150 supercab 4x4,truck
infiniti,qx50 awd,SUV
,pontic grand prix,unknown
,Vintage Olds Aurora,unknown
,maserati quattroporte s,unknown
,chevette,unknown
chrysler,pt cruiser gt turbo,sport
,Firebird Trans AM,unknown
chevrolet,cavalier z24,unknown
,Mack GR64B,unknown
volkswagen,cc r line,unknown
ford,crow victoria,unknown
mercedes-benz,slk class,sport
chevrolet,cruze 1lt sedan,sedan
kia,forte lx sedan,sedan
kia,forte lx sedan 6a,sedan
jeep,gran cherokee laredo 4x4,SUV
,MG,unknown
volkswagen,beetle 2.0t turbo w,unknown
ferrari,458 italia,unknown
bmw,540i m-sport,sport
audi,a8 l 3.0t,unknown
ford,f-150 supercrew platinum 4x,truck
,2006 Pontaic Grand Prix,unknown
,Triumph TR7,unknown
bmw,z4 3.0i convertible,sport
,willys wagon,unknown
ram,1500 4 x 4,truck
ford,f-650 diesel,unknown
ford,f350 diesel powerstroke xlt,truck
lexus,ls600h l,unknown
,E-Series Cutaway,unknown
nissan,murano le awd 3.5 v6,unknown
ram,van 1500,truck
infiniti,qx60 premium,unknown
mercedes-benz,gl350 bluetec 4wd,unknown
,SL 4X4,unknown
,QX,unknown
volkswagen,conv. ch 2,unknown
chevrolet,cobalt sport,sport
,utility trailer,unknown
,international transtar 8600,unknown
gmc,c1500,truck
bmw,5 series hybrid,unknown
honda,odyssey minivan,sport
chevrolet,s10 extended cab,unknown
dodge,dakota quad cab,unknown
chevrolet,w4500 crew cab,unknown
dodge,magnum se,unknown
ford,cmax energi,unknown
volkswagen,passat v6,sedan
ford,f350 lariat dually,truck
ram,3500 rwd,truck
lexus,gs350 f sport,sport
dodge,charger hemi,unknown
,Subary Baja,unknown
ford,f-250 lifted,truck
chevrolet,2500 ltz 4x4,truck
rover,svautobiography,unknown
,1969,unknown
,Pete 379,unknown
,Lada,unknown
,Expedition,unknown
ford,transit passenger van t-150,sport
audi,a3 1.8t premium,unknown
nissan,pathfinder hybrid,unknown
,Olds delta 88,unknown
,CHEETAH,unknown
acura,3.2 cl type s,unknown
cadillac,srx4,unknown
honda,pilot ex l,SUV
chevrolet,2500 gas 4x4,truck
chevrolet,silverado 3500 hd diesel,truck
chevrolet,3500 srw diesel,truck
chevrolet,2500 hd 4x2 gas,truck
chevrolet,silverado 2500 hd gas,truck
,ISUZU NPR CRWE CAB DUMP,unknown
ford,f 350 xl hd dually,unknown
chevrolet,3500 hd dually gas,truck
chevrolet,2500 hd 4x4 diesel,truck
chevrolet,2500 hd gas 4x4,truck
bmw,5-series 528i xdrive,unknown
chevrolet,silverado 3500 4x4 diesel,truck
,CHEVU 3500 DIESEL,unknown
,2012 Peterbilt 389/Cottrell,unknown
chevrolet,3500 hd -gas-,truck
ford,taurus eco-boost,unknown
,2012 Peterbilt 389/Cottrell's,unknown
chevrolet,tahoe lt autoride,SUV
nissan,rouge sv,unknown
,MERCEDEZ BENZ CLK 550,unknown
,2015Mazda 6,unknown
ford,e350 12-passenger van,sport
ford,mustang g. t. conv.,unknown
ford,mustang shelby gt-500,sport
chevrolet,corvette fuel injected,unknown
chevrolet,camaro z28 30th anniversary pace car,unknown
ford,galaxie skyliner,unknown
chevrolet,other pickups,truck
,e63s,unknown
hyundai,sante fe - se,unknown
,PETERBILT/COTTRELL,unknown
buick,grand national,unknown
harley-davidson,,unknown
volvo,v70 2.5t,unknown
honda,pilot 4wd,SUV
mercedes-benz,benz 63amg,unknown
mazda,cx-7 grand touring,unknown
mazda,cx7 sport,sport
chrysler,300c v6,unknown
mercedes-benz,benz ml,unknown
,THUNDERBIRD  CONV.,unknown
,Freightliner Classic,unknown
ford,f150 limited 4wd,truck
,freightliner columbia,unknown
,suzuki vitara 2.0,unknown
mercedes-benz,clk320 coupe,sport
ford,e-series e-350 sd bus,unknown
,2500HD  6.0L GAS  4WD  CLEAN,unknown
volvo,xc60 t6 platinum,unknown
,Mercede-Benz E-Class E350,unknown
,merceds e350,unknown
,Isuzu HTR,unknown
,John Deer zero turn,unknown
bmw,z3 2.8,unknown
ford,xls explorer,SUV
lincoln,town car cartier edition,unknown
,SHELBY COBRA,unknown
chrysler,pt cruiser convertible,sport
,hummer h2 sut,unknown
,2004 Accord,unknown
,isuzu npr diesel,unknown
porsche,boxster type s,unknown
,Lambo Aventador SV Roadster,unknown
ford,eacape,unknown
rover,spo,unknown
,Bentley Mulsanne,unknown
mercedes-benz,benz cl55 amg,unknown
,oldsmobile silhouette,unknown
ford,lnt8000,unknown
nissan,skyline gtr r32,sport
,caterpillar,unknown
,Conversion van,unknown
,Hundai Tuscon,unknown
chrysler,200 convertible,sport
mercedes-benz,benz ml 320 cdi 4 matic,unknown
mitsubishi,eclipse spyder gts,sport
mercedes-benz,gl gl550 4matic,unknown
bmw,550i f10,unknown
mercedes-benz,maybach s560,unknown
bmw,528 i,unknown
lincoln,/mercury comet,unknown
ford,f-250 xl crew cab,truck
,All Makes & Models,unknown
bmw,335xi awd coupe,sport
,mazda3 hatchback,unknown
ford,transit-150,unknown
chevrolet,avalanche 1500lt,truck
,F550,unknown
ford,transit connect van xlt,unknown
volkswagen,atlas cross sport s,sport
hyundai,veloster turbo,unknown
gmc,savanna,unknown
volvo,vnl64t670,unknown
chevrolet,cruze w/ 1lt,unknown
ford,tbird,unknown
nissan,350z enthusiast,unknown
dodge,b 2500 van,truck
nissan,240sx,unknown
gmc,sierra dually turbo,truck
ram,d150,unknown
,maserati sypder,unknown
,suzuki samuarai.,unknown
chevrolet,c8500,unknown
,camaro,unknown
ford,f150 xlt 4x4 truck,truck
chevrolet,corvette c5,unknown
buick,enclave awd premium,unknown
volkswagen,cc 2.0 turbo,unknown
volkswagen,eos sport,sport
ford,f550 superduty xl,unknown
ram,deisel cummins 3500,truck
ford,f550 xl super duty,unknown
toyota,land cruiser fj40,unknown
,Quigley Conversion,unknown
gmc,terrain slt-2,unknown
ford,edge titanium awd,unknown
,TUNDRA  SR5  4WD  5.7L V8,unknown
,F-350  6.2L V8 GAS  RWD  CLEAN,unknown
ford,f-550 super duty xl,unknown
,2 door coupe,unknown
toyota,4runner sr5 rwd,unknown
toyota,sr5 preium 4runner,unknown
bmw,528i sport,sport
gmc,c4e042,unknown
,1970 MERCEDED,unknown
bmw,x5 35i msport,SUV
bmw,645ci sport coupe,sport
bmw,335i sport convertible,sport
bmw,335i sport sedan,sedan
bmw,x3 28i msport xdrive,sport
audi,s5 sport coupe,sport
chevrolet,clunker,unknown
mercedes-benz,slk konpressor,sport
,Fff,unknown
dodge,durango special service,unknown
gmc,sierra ext2500,truck
ram,2500 pk,truck
ford,e350 xlt,unknown
mini,cooper hardtop s baywaters,unknown
ford,winstar lx,unknown
,VICTORY VEGAS JACKPOT,unknown
nissan,240sx s14,unknown
mercedes-benz,benz 500 sel,unknown
buick,la sabre limited,unknown
ford,f-550 bucket truck,truck
subaru,forester touring,SUV
,Genesis G80 3.8 automatic,unknown
lincoln,mkx reserve awd automatic,unknown
toyota,tacoma trd offroad automatic,truck
toyota,celica gt sunchaser,sport
ford,thunderbird landau,unknown
hyundai,kona limited automatic,unknown
toyota,highlander xle awd automatic,SUV
mazda,mx-5 miata grand touring manual,unknown
ford,escape sel automatic,SUV
ram,1500 big horn classic,truck
ford,ranger xlt supercab,truck
jeep,cherokee high altitude automatic,SUV
ford,f350 deisel powerstroke xlt,truck
jeep,wranger,truck
ford,transit passenger wagon xlt,sport
dodge,gr caravan,unknown
,06 F250 Lariat,unknown
nissan,ud 2000,unknown
toyota,camary hybrid,unknown
,2014 CHEVROLT EQUINOX,unknown
,SL 500 AMG V8 Kompressor,unknown
lexus,"ls460l, great sedan",sedan
gmc,yukon denali 2wd automatic,SUV
mercedes-benz,gla gla 250 automatic,unknown
,2011KIA SOUL,unknown
jeep,cherokee trail hawk,SUV
infiniti,m35 base automatic,unknown
cadillac,ats 2.5l automatic,unknown
mazda,mazda6 touring automatic,unknown
,2002 PT Cruiser LT,unknown
,Camaro SS,unknown
,Ridheline,unknown
bmw,x5 xdrive35i automatic,SUV
mazda,323,unknown
toyota,higlander,unknown
toyota,sequoia platinum automatic,unknown
lincoln,mkc select automatic,unknown
mercedes-benz,benz 450 sl,unknown
,Fore Mustang GT,unknown
ford,f-150 lariat 4wd supercrew automatic,truck
lincoln,continental reserve automatic,unknown
lincoln,nautilus reserve automatic,unknown
volvo,940 wagon,unknown
buick,lesabre limited 4dr sedan,sedan
gmc,canyon all terrain,truck
bmw,135i m sport,sport
chevrolet,el camino choo choo,unknown
mercedes-benz,cl500,unknown
mercedes-benz,e350 4matic,unknown
honda,pilot touring awd,SUV
,2010 G37S,unknown
volkswagen,golf tdi 2.0l,unknown
honda,odessey,sport
,2D8HN54159R611084,unknown
,vhevy,unknown
dodge,durango sport,sport
honda,accord lxp,sedan
mercedes-benz,benz slk350,unknown
gmc,s1700,unknown
,1977 international scout,unknown
buick,regal premium 1,unknown
mercedes-benz,300,unknown
mercedes-benz,benz ml430,unknown
cadillac,srx~awesome colors~ navigation~ camera~ factory ch,unknown
nissan,titan sl,unknown
,MB ML320,unknown
,Lotus Elan S130,unknown
volvo,c70 (fleet-only),unknown
chevrolet,crew 4x4 ltz,unknown
ford,f-250 4x4 lifted,truck
toyota,matrix base,unknown
,For F700,unknown
,smart car fortwo passion,unknown
,Sierra 2500 SLE extended cab,unknown
lincoln,continental mark v,unknown
,1994 accura integra,unknown
gmc,w5500 box truck,truck
,2004 Isuzu NPR,unknown
,AUTO4YOU,unknown
subaru,outback wagon 4d,SUV
porsche,924,unknown
infiniti,q60 awd cpe,unknown
honda,magna,unknown
mitsubishi,pajero,unknown
,Saab 9-3 Linear,unknown
,HONO 268,unknown
ford,f-350 4x4 6.7 lariat,truck
hyundai,genisis,unknown
,nissian sentra,unknown
mazda,mellenia,unknown
pontiac,grand am se1,unknown
,RANGER XLT,unknown
gmc,6000 topkick,unknown
,Pinto,unknown
bmw,535i twin turbo,unknown
infiniti,m35 x awd,unknown
subaru,outback 3.6r limited awd,SUV
chevrolet,silverado 2500 4x4,truck
,1966 gto,unknown
bmw,z3 2.3,unknown
,1980 Sprint Race Car,unknown
,Bentley Continental GT V8,unknown
,hundai elantra,unknown
honda,accord sdn ex-l automatic,sedan
,Willys Truck,unknown
,Maserati GranTurismo Convertible,unknown
,Nitro Z19,unknown
ford,f250 sd 4d lariet,truck
,FPRD F150,unknown
lincoln,mark vii lsc,unknown
nissan,rogue sport sv,sport
,Suzuki Wagon R,unknown
,FREIGHTLINER SPRINTER 2500,unknown
kia,soul urban special edition,unknown
gmc,3500 with crane,truck
ford,f550 xl crew cab,unknown
,Genesis G90 Premium,unknown
,1953 customline,unknown
cadillac,ct5 sport sedan 4d,sedan
,Impreza WRX,unknown
,2006 mercedez benz r-350,unknown
chevrolet,silverado flatbed,truck
,2001 Plymouth Prowler,unknown
,Infintiti G35,unknown
chevrolet,corvette c6,unknown
honda,del sol,unknown
ford,delivery panel truck,truck
ford,mustang 2dr cpe v6,unknown
volkswagen,atlas sel premium,unknown
bmw,x5 4.4i top,SUV
toyota,hilux surf,unknown
mitsubishi,outlander sel,unknown
,Mercedes500 SL,unknown
audi,a8 l 4.0t sport sedan 4d,sedan
subaru,forester 2.5 xt limited,SUV
bmw,m6 6-series,unknown
,1978 F100,unknown
honda,crv-ex,unknown
ferrari,f355,unknown
,1967 Olds Cutlas Conv,unknown
mercedes-benz,gle 300d 4matic,unknown
bmw,530i sedan,sedan
volvo,xc90 v8,unknown
,isuzu fvr,unknown
,2017 Xe 25-t,unknown
ford,f450 utility box truck,truck
,38773,unknown
chevrolet,corvette v8 targa,unknown
,1957 Plymouth Fury,unknown
ford,f-650 super duty,unknown
audi,q7 3.0t quattro prestige,unknown
,1975 Isuzu 117 Coupe,unknown
,1960 Lotus Elite,unknown
kia,optima 4dr sdn ex,sedan
,genesis g80,unknown
bmw,328i 328i,unknown
mercedes-benz,e400 4matic awd co,unknown
bmw,135i convertible,sport
,Wolkswagen Routan,unknown
bmw,440i,unknown
mercedes-benz,metris passenger van,sport
ford,e-series chassis,sport
,Freightliner Sprinter,unknown
jaguar,f-pace 20d prestige,unknown
nissan,armada lenissan armada,sport
infiniti,qx56 4wdinfiniti qx 56,SUV
buick,encore premium,unknown
porsche,cayenne hybrid 2011,unknown
toyota,tundra 2wd truck limited,truck
ford,f-250 super dully,truck
bmw,528i sedan,sedan
fiat,500 2dr hb sport,sport
nissan,maxima s,unknown
ford,focus titanium sedan 4d,sedan
dodge,dart rallye,unknown
volvo,s 80,unknown
audi,s5 prestige,unknown
,Maserati GranTurismo 2017,unknown
dodge,coronet 500,unknown
,2018,unknown
pontiac,formula 400,unknown
audi,a3 mechanic only,unknown
bmw,5 series 540i 4dr sedan,sedan
nissan,rogue sl 4dr crossover,sport
hyundai,santa fe sport 2.4l 4dr,sport
ford,escape se 4dr suv,SUV
cadillac,deville dts,unknown
buick,riviera convertible,sport
ford,f-250 lariat,truck
,maserati granturismo sport,unknown
,ADVAN,unknown
,N/A N/A,unknown
,Corvette C8,unknown
mercedes-benz,cla-250,unknown
ford,f150 lariet,truck
ford,starcraft e350,unknown
,Mack MD642,unknown
ford,f350 lariat 4x4,truck
mercedes-benz,ml 350 sport,sport
mercedes-benz,glk glk 350,unknown
,2013 Smart Fortwo,unknown
cadillac,eldorado esc,unknown
ford,f150 xcab,truck
infiniti,q50 3.0t signature,unknown
hyundai,santa fe sport 2.4lsuv,SUV
ram,4500 2016,unknown
mercedes-benz,sprinter 2500 high r,truck
cadillac,xts luxury awdsedan,sedan
ford,f750 bucket truck,truck
,FREIGHTLINER ALTEC BUCKET TRUCK,unknown
dodge,challenger sxt plus 2dr,unknown
,freightliner cascadia evolution,unknown
,STERLING LT7500 VACCON,unknown
chevrolet,camaro ls 2dr coupe,sport
mazda,miata sport,sport
gmc,altec bucket truck,truck
volkswagen,touareg v6,unknown
,INTERNATIONAL ALTEC BUCKET TRUCK,unknown
bmw,3 series 328isedan,sedan
,hino,unknown
,2012 Smart Car,unknown
bmw,633csi,unknown
mercedes-benz,slk 320,unknown
audi,a5 premium cabriolet 2d,unknown
mercedes-benz,cls-class 2012,sport
dodge,challenger srt demon,unknown
hyundai,santa fe se 4dr suv,SUV
hyundai,sonata se 4dr sedan sul,sedan
ford,mustang ecoboost fastback,unknown
,mercedez benz c300,unknown
bmw,435i sport package,sport
mini,hardtop 2 door cooper s 2d,unknown
mercedes-benz,bennz 420sel,unknown
nissan,versa sv 4dr sedan,sedan
mazda,6 i sport,sport
kia,soul + wagon,unknown
chevrolet,impala lt 4dr sedan,sedan
,Lamborghini huracan evo,unknown
,mazada miata,unknown
mercedes-benz,e 300 sedan,sedan
bmw,3 series 328i sule,unknown
mercedes-benz,benz cla250,unknown
,ISUZU NPR/NPR-HD,unknown
gmc,c7,unknown
,HINO XJC740 / XFC740,unknown
toyota,corolla sport,sedan
dodge,caravan sxt,unknown
dodge,journey economy suv,SUV
volvo,dump truck single axle,truck
,International Duramax,unknown
,freightliner cascadia Midroof,unknown
,international dump truck,unknown
,CLARK FORKLIFT,unknown
,Tadano 1882 TM  Truck Crane,unknown
,Strick,unknown
,internacional 4300,unknown
porsche,cayenne gts awdsuv,SUV
fiat,500 abarth 2dr hatchback,unknown
toyota,rav4 xlesuv,SUV
honda,odyssey ex l w/dvdmini,sport
porsche,panamera turbo s,unknown
acura,ilx 2.0l w/techsedan w/,sedan
gmc,terrain sltsuv,SUV
bmw,7 series 750isedan,sedan
gmc,yukon denali 4x2suv,SUV
chevrolet,tahoe lt 4x2suv,SUV
gmc,2500 suburban,truck
kia,soul basecrossover 6a,sport
bmw,6 series 640i 2dr,unknown
toyota,tacoma sr5 v6 4x2double,truck
lexus,is 350 basesedan,sedan
cadillac,cts 3.0l luxurysedan,sedan
,Vhevrolet Tahoe,unknown
bmw,428i 428i,unknown
rover,2016,unknown
jeep,wrangler sahara altitude,SUV
volvo,v50 wagon,unknown
,Mark III,unknown
mercedes-benz,e350 2016,unknown
lexus,rc sport,sport
chevrolet,1500 conversation,truck
,1970 Baja Bug,unknown
,cheverolet camaro,unknown
toyota,prius hybrid five,unknown
lexus,rx 350 f sport,sport
cadillac,cts 2.0l turbo luxury,unknown
,Corvette convertible,unknown
,2007 TRANSCRAFT EAGLE SD TRAILER,unknown
ford,sport track,sport
cadillac,deville base 4dr sedan,sedan
,Monaco Windsor,unknown
,Auction Access,unknown
volvo,v70 glt,unknown
honda,civic lx economy coupe,sedan
,BMWX5,unknown
audi,q7 3.6 premium quattro,unknown
chevrolet,tahoe lt 2014,SUV
,accura tl,unknown
buick,verano basesedan,sedan
toyota,camry solara sle v6 2dr,sedan
honda,odyssey exmini van,sport
saturn,s-series sc2 3dr coupe,sport
mercedes-benz,glk glk 350suv,SUV
,MASERATI GHIBLI SEDAN,unknown
dodge,chargers 5.7l,unknown
nissan,sentra svsedan,sedan
chevrolet,impala premiersedan,sedan
ford,f150 f150,truck
bmw,x3 xdrive28i awdsuv,SUV
ford,f-350 f-250,truck
fiat,500 sport 2dr hatchback,sport
ford,transit t350 xlt,unknown
mercedes-benz,benz a220,unknown
,suzuki xl-7,unknown
,ROLLS ROYCE GHOST,unknown
rover,hse sport,sport
chevrolet,malibu lt2,sedan
nissan,altima coupe 3.5,sedan
dodge,dakota sxt,unknown
gmc,custom short bed pickup,truck
toyota,corolla camry,sedan
,Isuzu NPR Box Truck 2015,unknown
chevrolet,malibu lt sedan,sedan
,rolls royce phantom,unknown
,Transit 250 High Roof,unknown
ford,cabriolet,unknown
,Alpha Romeo spider,unknown
chevrolet,colorado z71 4x4,truck
volkswagen,beetle restomod,unknown
chevrolet,c/k 10 series,unknown
,Oldsmobile Cutlass F85 Sports Co,unknown
chevrolet,silverado texas,truck
cadillac,custom roadster,unknown
,bradley gt,unknown
bmw,335i 335i,unknown
rover,evoque co,unknown
lexus,is is 250,unknown
toyota,camry sesedan,sedan
,ISUZU NQR/NRR,unknown
ford,escape fwd 4dr titanium,SUV
toyota,*matrix*,unknown
ford,f-350 super duty 2008,truck
chevrolet,impala ltsedan,sedan
dodge,ram1500,truck
ram,1500 laramie longhorn 4x4,truck
hyundai,veloster base 3dr,unknown
bmw,535i 535i,unknown
mercedes-benz,560sec,unknown
,oldsmobile intrigue,unknown
dodge,4500 bucket truck,truck
,Pitts LT40-8L,unknown
infiniti,jx35 base awdsuv,SUV
mercedes-benz,gl450 4matic awd,unknown
infiniti,q50 s,unknown
hyundai,santa fe sesuv,SUV
cadillac,ats v,unknown
toyota,highlander xlesuv,SUV
,mack CH Day Cab Pto Pump,unknown
cadillac,escalade 2011,unknown
,International  4300 Dump Truck,unknown
mercedes-benz,benz cls 550,unknown
nissan,sentra srsedan,sedan
,STERLING DUMP TRUCK,unknown
,fREIGHTLINER m2,unknown
,chevorlet camaro,unknown
,Olds,unknown
,Chevorlet 210,unknown
,sterling truck Flat bed Crane,unknown
ram,4500 duly 4x4,unknown
bmw,m4 cabriolet,unknown
,Freightliner BUSINESS CLASS M2,unknown
cadillac,eldorodo,unknown
harley-davidson,flhtcu103,unknown
ford,ecnoline,unknown
toyota,tundra crewmax 4x4 5.7l,truck
,maserati ghibli s,unknown
,camaro z28,unknown
hyundai,elantra selsedan,sedan
,hINO 268,unknown
,2008 ROLLS ROYCE PHANTOM,unknown
chrysler,pacifica touring l.,unknown
chevrolet,corvette lt3,unknown
,Feerrari 360 Spider,unknown
mercedes-benz,240 station wagon,unknown
dodge,srt demon,unknown
nissan,rogue economy suv,SUV
audi,a3 sedan 1.8t premium plus,sedan
chevrolet,camaro ss 2015,sport
pontiac,sunbird,unknown
,MAZDA5,unknown
bmw,335i 335i sa,unknown
audi,q5 tdi s-line,unknown
ram,1500 v8 slt,truck
toyota,tundra trd off road,truck
toyota,tundra crew,truck
